drug_name	active_ingredients
AMINOSYN 3.5% M	AMINO ACIDS; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE
DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
LO/OVRAL-28	ETHINYL ESTRADIOL; NORGESTREL
LOESTRIN 21 1.5/30	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
LOESTRIN 21 1/20	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
TRIDESILON	ACETIC ACID, GLACIAL; DESONIDE
ORTHO-NOVUM 1/35-28	ETHINYL ESTRADIOL; NORETHINDRONE
NORMINEST FE	ETHINYL ESTRADIOL;NORETHINDRONE; FERROUS FUMARATE
VEINAMINE 8%	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE
DEPO-TESTADIOL	ESTRADIOL CYPIONATE; TESTOSTERONE CYPIONATE
MINIZIDE	POLYTHIAZIDE; PRAZOSIN HYDROCHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 20MEQ (K) IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 5MEQ IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 15MEQ IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
INDERIDE-40/25	HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE
INDERIDE-80/25	HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 20MEQ (K)	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 5MEQ	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 5MEQ (K)	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 15MEQ (K)	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 30MEQ	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 10MEQ	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 20MEQ	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 40MEQ	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
CORSYM	CHLORPHENIRAMINE POLISTIREX; PHENYLPROPANOLAMINE POLISTIREX
DEXTROSE 3.3% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
TIMOLIDE 10-25	HYDROCHLOROTHIAZIDE; TIMOLOL MALEATE
TRIAMINIC-12	CHLORPHENIRAMINE MALEATE; PHENYLPROPANOLAMINE HYDROCHLORIDE
DEMULEN 1/35-28	ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
DEMULEN 1/35-21	ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
INSULIN NORDISK MIXTARD (PORK)	INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE PURIFIED PORK
MODURETIC 5-50	AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
LO/OVRAL FE	ETHINYL ESTRADIOL; LEVONORGESTREL; FERROUS FUMARATE
DEXTROSE 10% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
SULFAMETHOXAZOLE AND TRIMETHOPRIM	SULFAMETHOXAZOLE; TRIMETHOPRIM
ISOLYTE S IN PLASTIC CONTAINER	MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
DEXTROSE 5% AND RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5% IN ACETATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.22% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.224% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.075%	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.075%	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.075% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.22% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.30% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
ISOLYTE E W/ DEXTROSE 5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE
ISOLYTE M W/ DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
ISOLYTE R W/ DEXTROSE 5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
ISOLYTE H W/ DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
ISOLYTE S W/ DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
LOPRESSOR HCT	HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE
SENSORCAINE	BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
TIS-U-SOL IN PLASTIC CONTAINER	MAGNESIUM SULFATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM PHOSPHATE
ORTHO-NOVUM 10/11-21	ETHINYL ESTRADIOL; NORETHINDRONE
ORTHO-NOVUM 10/11-28	ETHINYL ESTRADIOL; NORETHINDRONE
POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
DEXTROSE 2.5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DELFLEX W/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX W/ DEXTROSE 2.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX-LM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX-LM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX-LM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX W/ DEXTROSE 3.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX-LM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DEXTROSE 10% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
PHYSIOSOL PH 7.4 IN PLASTIC CONTAINER	MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
MVC PLUS	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
M.V.C. 9+3	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
TALACEN	ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE
DIALYTE W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
DIALYTE LM/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIALYTE W/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
DIALYTE LM/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIALYTE LM/ DEXTROSE 2.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
BSS PLUS	CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE
TRINALIN	AZATADINE MALEATE; PSEUDOEPHEDRINE SULFATE
TIS-U-SOL	MAGNESIUM SULFATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM PHOSPHATE
BAROS	SODIUM BICARBONATE; TARTARIC ACID
IRRIGATING SOLUTION G IN PLASTIC CONTAINER	CITRIC ACID; MAGNESIUM OXIDE; SODIUM CARBONATE
FANSIDAR	PYRIMETHAMINE; SULFADOXINE
PROCALAMINE	AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
SULFAMETHOXAZOLE AND TRIMETHOPRIM DOUBLE STRENGTH	SULFAMETHOXAZOLE; TRIMETHOPRIM
PLEGISOL IN PLASTIC CONTAINER	CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
SULFATRIM PEDIATRIC	SULFAMETHOXAZOLE; TRIMETHOPRIM
SULFATRIM	SULFAMETHOXAZOLE; TRIMETHOPRIM
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 5MEQ IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 15MEQ IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 30MEQ IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
CORZIDE	BENDROFLUMETHIAZIDE; NADOLOL
NORDETTE-21	ETHINYL ESTRADIOL; LEVONORGESTREL
GAVISCON	ALUMINUM HYDROXIDE; MAGNESIUM TRISILICATE
CAPOZIDE 25/15	CAPTOPRIL; HYDROCHLOROTHIAZIDE
CAPOZIDE 25/25	CAPTOPRIL; HYDROCHLOROTHIAZIDE
CAPOZIDE 50/25	CAPTOPRIL; HYDROCHLOROTHIAZIDE
CAPOZIDE 50/15	CAPTOPRIL; HYDROCHLOROTHIAZIDE
SODIUM CHLORIDE 0.9% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
SODIUM CHLORIDE 0.9% AND POTASSIUM CHLORIDE 0.22% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
SODIUM CHLORIDE 0.9% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
ACETATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
TALWIN NX	NALOXONE HYDROCHLORIDE; PENTAZOCINE HYDROCHLORIDE
POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
POTASSIUM CHLORIDE 0.22% IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
VASOCON-A	ANTAZOLINE PHOSPHATE; NAPHAZOLINE HYDROCHLORIDE
ISOCLOR	CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE
TENORETIC 100	ATENOLOL; CHLORTHALIDONE
TENORETIC 50	ATENOLOL; CHLORTHALIDONE
NORDETTE-28	ETHINYL ESTRADIOL; LEVONORGESTREL
COLD CAPSULE IV	CHLORPHENIRAMINE MALEATE; PHENYLPROPANOLAMINE HYDROCHLORIDE
COLD CAPSULE V	CHLORPHENIRAMINE MALEATE; PHENYLPROPANOLAMINE HYDROCHLORIDE
AMINOSYN 3.5% M IN PLASTIC CONTAINER	AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; SODIUM CHLORIDE
DIALYTE CONCENTRATE W/ DEXTROSE 30% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
DIALYTE CONCENTRATE W/ DEXTROSE 50% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
LOTRISONE	BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE
DEXTROSE 5% AND ELECTROLYTE NO. 75 IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE
PSEUDOEPHEDRINE HYDROCHLORIDE AND CHLORPHENIRAMINE MALEATE	CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE
VISKAZIDE	HYDROCHLOROTHIAZIDE; PINDOLOL
POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% IN SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DELFLEX W/ DEXTROSE 1.5% LOW MAGNESIUM IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX W/ DEXTROSE 2.5% LOW MAGNESIUM IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX W/ DEXTROSE 4.25% LOW MAGNESIUM IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
EMBOLEX	DIHYDROERGOTAMINE MESYLATE; HEPARIN SODIUM; LIDOCAINE HYDROCHLORIDE
SODIUM PHOSPHATES IN PLASTIC CONTAINER	SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE; SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS
TPN ELECTROLYTES IN PLASTIC CONTAINER	CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
ISOLYTE E IN PLASTIC CONTAINER	CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE
UROLOGIC G IN PLASTIC CONTAINER	CITRIC ACID; MAGNESIUM OXIDE; SODIUM CARBONATE
HEXABRIX	IOXAGLATE MEGLUMINE; IOXAGLATE SODIUM
M.V.I. PEDIATRIC	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PHYTONADIONE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
NORQUEST FE	ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE
PENNTUSS	CHLORPHENIRAMINE POLISTIREX; CODEINE POLISTIREX
M.V.I.-12 LYOPHILIZED	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE; VITAMIN A; VITAMIN E
CODIMAL-L.A. 12	CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE
TRI-NORINYL 21-DAY	ETHINYL ESTRADIOL; NORETHINDRONE
TRI-NORINYL 28-DAY	ETHINYL ESTRADIOL; NORETHINDRONE
COLYTE	POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE ANHYDROUS
COLYTE-FLAVORED	POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE ANHYDROUS
COLYTE WITH FLAVOR PACKS	POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE ANHYDROUS
ORTHO-NOVUM 7/7/7-21	ETHINYL ESTRADIOL; NORETHINDRONE
ORTHO-NOVUM 7/7/7-28	ETHINYL ESTRADIOL; NORETHINDRONE
VASOCIDIN	PREDNISOLONE ACETATE; SULFACETAMIDE SODIUM
LIPOSYN II 20%	SAFFLOWER OIL; SOYBEAN OIL
ACTIFED	PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE
LIPOSYN II 10%	SAFFLOWER OIL; SOYBEAN OIL
ORTHO-NOVUM 7/14-21	ETHINYL ESTRADIOL; NORETHINDRONE
ORTHO-NOVUM 7/14-28	ETHINYL ESTRADIOL; NORETHINDRONE
